report_id,source_id,timestamp,severity,category
1,38,1,9,flood
2,20,1,3,flood
3,10,4,2,rescue
4,2,7,1,fire
5,29,9,1,rescue
6,11,9,4,power
7,48,10,4,fire
8,15,12,3,flood
9,2,12,4,power
10,17,15,8,rescue
11,8,16,1,fire
12,46,19,1,rescue
13,46,20,8,medical
14,39,20,2,fire
15,28,26,7,fire
16,9,32,8,rescue
17,39,34,3,power
18,23,35,9,rescue
19,44,35,2,power
20,6,36,6,medical
21,23,38,6,flood
22,34,44,6,flood
23,38,47,1,rescue
24,7,48,2,medical
25,22,50,2,power
26,39,51,7,flood
27,36,54,5,flood
28,25,56,6,flood
29,14,57,1,rescue
30,31,58,3,rescue
31,3,61,1,power
32,28,61,8,flood
33,27,63,5,power
34,5,64,6,rescue
35,29,69,4,fire
36,24,69,8,medical
37,26,73,1,rescue
38,2,75,1,flood
39,36,75,1,fire
40,14,76,2,medical
41,48,78,9,rescue
42,1,91,2,power
43,16,92,4,fire
44,22,92,2,medical
45,1,94,3,fire
46,31,94,5,flood
47,16,103,6,power
48,5,103,4,medical
49,5,104,1,flood
50,35,105,5,flood
51,19,107,1,rescue
52,39,107,4,fire
53,10,112,6,medical
54,30,115,5,flood
55,15,116,10,medical
56,48,121,10,rescue
57,31,122,2,medical
58,18,126,7,flood
59,32,126,7,flood
60,35,126,5,rescue
61,47,126,8,flood
62,17,129,2,fire
63,34,131,10,medical
64,3,134,4,power
65,7,136,5,medical
66,47,136,4,flood
67,21,141,4,power
68,7,142,3,fire
69,32,143,5,medical
70,47,145,4,flood
71,16,150,8,power
72,5,155,6,medical
73,28,161,4,power
74,32,162,2,power
75,22,163,2,flood
76,24,165,8,fire
77,45,166,2,fire
78,41,168,2,medical
79,8,172,5,power
80,25,177,2,medical
81,6,179,5,power
82,7,180,3,rescue
83,14,181,4,fire
84,21,189,3,fire
85,21,189,7,medical
86,5,190,3,flood
87,32,197,6,rescue
88,4,198,1,power
89,29,206,5,rescue
90,49,207,5,flood
91,18,207,6,fire
92,22,207,5,rescue
93,0,213,2,medical
94,0,215,4,power
95,2,216,4,flood
96,28,216,1,power
97,29,217,9,rescue
98,15,218,6,power
99,32,218,3,power
100,9,219,5,rescue
101,30,220,5,flood
102,0,222,5,power
103,23,226,5,fire
104,31,228,6,rescue
105,32,233,6,flood
106,11,238,7,medical
107,42,238,2,power
108,45,241,1,flood
109,22,243,5,power
110,25,244,6,flood
111,3,250,5,fire
112,28,257,6,medical
113,35,260,3,medical
114,34,260,6,rescue
115,38,262,2,power
116,12,263,6,flood
117,16,264,4,rescue
118,21,264,8,flood
119,11,265,8,flood
120,6,266,9,rescue
121,46,268,3,power
122,24,274,5,power
123,22,275,6,power
124,38,278,4,fire
125,22,285,3,flood
126,11,289,6,fire
127,37,289,3,power
128,8,289,8,fire
129,28,290,2,flood
130,44,296,7,rescue
131,6,297,4,rescue
132,30,299,6,rescue
133,26,300,8,flood
134,2,302,1,fire
135,19,304,6,power
136,38,311,5,power
137,48,312,7,medical
138,5,313,1,power
139,46,318,1,power
140,36,319,4,flood
141,17,319,5,medical
142,30,322,5,flood
143,10,324,9,rescue
144,7,325,2,rescue
145,49,325,1,power
146,26,326,1,medical
147,19,331,5,power
148,34,334,8,fire
149,4,339,8,fire
150,29,339,4,power
151,32,347,6,fire
152,48,348,4,fire
153,21,349,7,medical
154,33,349,3,medical
155,5,351,6,power
156,37,357,4,power
157,9,358,3,medical
158,8,360,2,flood
159,3,362,7,medical
160,33,364,2,fire
161,2,365,2,rescue
162,43,367,1,flood
163,47,369,1,power
164,1,370,2,rescue
165,49,375,5,flood
166,33,380,4,medical
167,29,386,4,flood
168,28,388,3,medical
169,19,390,1,fire
170,1,390,2,flood
171,10,391,4,medical
172,15,393,3,rescue
173,24,395,7,flood
174,31,395,4,fire
175,20,396,2,rescue
176,21,397,4,medical
177,11,398,8,fire
178,25,402,2,medical
179,46,402,5,flood
180,16,405,7,medical
181,34,406,10,fire
182,13,406,5,power
183,6,406,8,flood
184,44,407,3,flood
185,24,408,3,rescue
186,16,409,1,fire
187,24,411,2,rescue
188,9,411,5,power
189,35,414,6,fire
190,39,415,4,flood
191,36,416,8,fire
192,44,416,4,medical
193,21,417,1,rescue
194,29,417,1,medical
195,30,417,5,rescue
196,5,421,4,rescue
197,14,421,9,medical
198,37,423,7,medical
199,10,426,3,flood
200,4,426,9,rescue
201,32,429,2,rescue
202,25,429,2,power
203,35,430,4,flood
204,49,432,1,power
205,43,432,2,fire
206,36,434,6,medical
207,23,434,3,flood
208,48,435,7,rescue
209,13,435,6,flood
210,11,438,1,medical
211,21,441,7,power
212,40,445,2,rescue
213,20,447,6,flood
214,25,449,3,medical
215,24,449,6,flood
216,32,450,3,medical
217,32,450,3,fire
218,39,456,5,flood
219,2,456,6,fire
220,14,459,5,medical
221,38,462,6,power
222,32,462,2,flood
223,3,466,5,fire
224,9,467,1,power
225,35,469,1,rescue
226,28,470,1,power
227,11,472,5,flood
228,35,473,5,flood
229,19,474,9,fire
230,5,476,3,fire
231,11,477,4,fire
232,46,477,7,flood
233,35,477,5,power
234,7,478,1,medical
235,8,483,1,power
236,40,484,8,medical
237,20,488,7,rescue
238,0,489,2,flood
239,20,490,1,power
240,25,494,1,rescue
241,10,497,3,fire
242,26,498,4,flood
243,23,498,4,rescue
244,23,499,3,power
245,21,500,1,fire
246,6,502,9,medical
247,21,503,4,power
248,6,506,2,power
249,18,506,2,power
250,28,507,7,flood
251,13,508,3,fire
252,27,508,3,flood
253,0,509,7,flood
254,9,512,5,fire
255,22,514,1,fire
256,7,515,4,flood
257,7,519,2,power
258,32,520,2,fire
259,23,521,4,flood
260,36,523,2,fire
261,6,523,2,power
262,18,527,5,rescue
263,0,528,5,rescue
264,1,530,4,rescue
265,36,534,6,medical
266,43,537,9,fire
267,23,538,7,flood
268,31,539,3,flood
269,8,539,5,power
270,8,548,5,flood
271,25,548,8,power
272,36,549,7,fire
273,41,550,4,fire
274,24,550,7,rescue
275,41,551,1,flood
276,5,553,4,fire
277,6,554,8,medical
278,27,560,4,fire
279,42,563,1,power
280,25,564,3,flood
281,35,565,5,flood
282,46,566,8,power
283,35,569,2,flood
284,42,570,4,flood
285,33,571,6,fire
286,8,573,6,medical
287,42,573,3,medical
288,2,580,6,rescue
289,29,581,4,rescue
290,43,584,8,medical
291,9,584,3,medical
292,15,586,6,power
293,36,588,5,medical
294,11,593,5,fire
295,25,599,1,fire
296,16,604,4,power
297,6,604,1,power
298,47,607,9,flood
299,17,609,7,rescue
300,17,610,7,medical
301,23,611,4,rescue
302,2,612,4,fire
303,43,615,2,medical
304,21,619,6,fire
305,44,620,7,fire
306,41,621,1,flood
307,12,633,8,flood
308,45,633,1,medical
309,43,634,4,rescue
310,9,637,3,rescue
